<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;16/04/20;150000;1079.4400000;1085.1000000;1075.8700000;1081.8500000;87021376
RTSI;60;16/04/20;160000;1081.8400000;1087.8000000;1080.0100000;1082.9200000;92495061
RTSI;60;16/04/20;170000;1082.9800000;1085.2800000;1062.6300000;1062.6500000;146572955
RTSI;60;16/04/20;180000;1062.7500000;1075.7800000;1062.2400000;1066.4800000;155798369
RTSI;60;16/04/20;190000;1066.4100000;1071.7000000;1064.6500000;1066.9100000;158408157
RTSI;60;17/04/20;110000;1084.3500000;1092.5400000;1075.9100000;1079.7400000;215229157
RTSI;60;17/04/20;120000;1079.7400000;1082.3700000;1071.6900000;1072.1200000;102086836
RTSI;60;17/04/20;130000;1072.1600000;1080.9200000;1068.9300000;1077.2900000;103879485
RTSI;60;17/04/20;140000;1077.3000000;1083.7800000;1075.2000000;1082.9700000;83817755
RTSI;60;17/04/20;150000;1083.0000000;1088.3200000;1080.6400000;1083.2800000;77676927
RTSI;60;17/04/20;160000;1083.3900000;1083.8600000;1078.3400000;1083.2000000;72404850
RTSI;60;17/04/20;170000;1083.2200000;1085.1400000;1077.7400000;1084.3400000;94578914
RTSI;60;17/04/20;180000;1084.3200000;1085.0200000;1072.0100000;1077.2400000;100315951
RTSI;60;17/04/20;190000;1077.2300000;1079.2800000;1075.7300000;1078.6900000;105734005
RTSI;60;20/04/20;110000;1075.2200000;1079.7500000;1061.2900000;1074.0900000;160207988
RTSI;60;20/04/20;120000;1074.1100000;1074.2900000;1067.2300000;1070.6900000;77326468
RTSI;60;20/04/20;130000;1070.6300000;1076.6700000;1069.7900000;1070.6800000;75614431
RTSI;60;20/04/20;140000;1070.6700000;1071.9700000;1066.7000000;1069.0900000;72908212
RTSI;60;20/04/20;150000;1069.0900000;1070.3300000;1057.5500000;1058.3900000;99970091
RTSI;60;20/04/20;160000;1058.3800000;1065.3800000;1057.3500000;1060.7600000;85611093
RTSI;60;20/04/20;170000;1060.7400000;1068.9000000;1055.7100000;1067.4900000;123097642
RTSI;60;20/04/20;180000;1067.5000000;1067.9100000;1062.6000000;1065.0300000;100309487
RTSI;60;20/04/20;190000;1065.0400000;1069.0600000;1062.3700000;1068.3200000;116152586
RTSI;60;21/04/20;110000;1036.1000000;1037.8900000;1019.4900000;1022.4600000;287696228
RTSI;60;21/04/20;120000;1022.5100000;1029.2700000;1017.9200000;1025.5700000;132913460
RTSI;60;21/04/20;130000;1025.5300000;1027.4700000;1005.8600000;1016.0000000;187354767
RTSI;60;21/04/20;140000;1016.1700000;1024.3600000;1014.4200000;1020.3000000;109454562
RTSI;60;21/04/20;150000;1020.3000000;1021.9600000;1009.4700000;1010.8100000;100603311
RTSI;60;21/04/20;160000;1010.8100000;1012.9400000;998.9900000;1001.5600000;139762001
RTSI;60;21/04/20;170000;1001.2400000;1017.9600000;991.4900000;1016.4600000;210913035
RTSI;60;21/04/20;180000;1016.4800000;1027.2500000;1009.1600000;1018.0900000;151041289
RTSI;60;21/04/20;190000;1018.0700000;1020.2300000;1012.1500000;1012.1500000;112675825
RTSI;60;22/04/20;110000;1011.3800000;1034.9900000;1006.9600000;1031.8400000;214179270
RTSI;60;22/04/20;120000;1031.8000000;1045.5300000;1028.2500000;1045.5300000;136538969
RTSI;60;22/04/20;130000;1045.5300000;1052.8800000;1041.5100000;1052.1400000;142580343
RTSI;60;22/04/20;140000;1052.2000000;1052.6500000;1046.2800000;1050.4400000;107568844
RTSI;60;22/04/20;150000;1050.4300000;1052.0100000;1046.6800000;1049.6200000;59045871
RTSI;60;22/04/20;160000;1049.6700000;1069.1500000;1048.8800000;1068.3000000;163289991
RTSI;60;22/04/20;170000;1068.2500000;1071.8000000;1060.9500000;1061.8500000;183330527
RTSI;60;22/04/20;180000;1062.4500000;1065.2900000;1055.0100000;1063.5700000;136762876
RTSI;60;22/04/20;190000;1063.6000000;1066.0100000;1058.8400000;1066.0100000;150705869
RTSI;60;23/04/20;110000;1079.1500000;1091.2000000;1075.8900000;1076.3100000;244141151
RTSI;60;23/04/20;120000;1076.3300000;1083.5800000;1071.3400000;1076.5200000;127597769
RTSI;60;23/04/20;130000;1076.5400000;1090.7400000;1076.1500000;1089.4000000;134068675
RTSI;60;23/04/20;140000;1089.4500000;1090.0200000;1084.3400000;1087.8600000;88870581
RTSI;60;23/04/20;150000;1087.9100000;1094.4900000;1085.2000000;1087.3300000;70397263
RTSI;60;23/04/20;160000;1087.3600000;1100.6500000;1085.7000000;1098.2500000;81314352
RTSI;60;23/04/20;170000;1098.2400000;1103.8400000;1094.9900000;1097.6700000;99704112
RTSI;60;23/04/20;180000;1097.5600000;1110.4000000;1096.8500000;1105.6300000;128825696
RTSI;60;23/04/20;190000;1105.6000000;1110.2400000;1099.6700000;1099.6700000;136974265
RTSI;60;24/04/20;110000;1089.3300000;1091.8500000;1080.9000000;1086.4100000;166249951
RTSI;60;24/04/20;120000;1086.4100000;1086.4300000;1074.0600000;1078.1300000;122035983
RTSI;60;24/04/20;130000;1078.1100000;1091.5100000;1078.0400000;1087.1100000;87765159
RTSI;60;24/04/20;140000;1087.0600000;1099.6600000;1085.7400000;1098.0100000;66122970
RTSI;60;24/04/20;150000;1097.9900000;1103.7700000;1094.3300000;1096.0800000;68399070
RTSI;60;24/04/20;160000;1096.0900000;1101.9800000;1090.8700000;1097.1800000;60395188
RTSI;60;24/04/20;170000;1097.1800000;1100.4300000;1086.1200000;1086.5300000;92034819
RTSI;60;24/04/20;180000;1086.5500000;1088.4700000;1080.2300000;1080.2700000;104311241
RTSI;60;24/04/20;190000;1080.3400000;1083.2200000;1077.9100000;1081.3200000;110048997
