<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;12/03/20;120000;1006.2200000;1019.2200000;997.8500000;1002.8600000;247326391
RTSI;60;12/03/20;130000;1002.7700000;1005.2100000;990.9600000;995.7500000;201072246
RTSI;60;12/03/20;140000;995.7900000;996.7000000;972.8400000;974.0300000;215221285
RTSI;60;12/03/20;150000;974.0500000;990.0700000;964.4400000;986.7500000;215545966
RTSI;60;12/03/20;160000;986.7800000;994.9800000;973.1600000;987.9500000;222642627
RTSI;60;12/03/20;170000;987.9500000;990.6600000;953.6400000;980.0200000;307577802
RTSI;60;12/03/20;180000;979.9500000;983.1400000;969.2300000;975.9300000;242718547
RTSI;60;12/03/20;190000;975.6400000;975.7800000;963.0800000;966.4000000;292749922
RTSI;60;13/03/20;110000;958.2900000;1034.9800000;957.1900000;1023.2900000;426916558
RTSI;60;13/03/20;120000;1022.9200000;1029.3200000;995.3300000;1003.1500000;317392408
RTSI;60;13/03/20;130000;1003.0600000;1021.7800000;1002.1800000;1016.2900000;178492641
RTSI;60;13/03/20;140000;1016.2800000;1021.7600000;1010.3900000;1013.4800000;145618529
RTSI;60;13/03/20;150000;1013.4800000;1045.6200000;1013.2800000;1045.4300000;269824707
RTSI;60;13/03/20;160000;1045.3200000;1055.4900000;1039.7700000;1044.1600000;268675610
RTSI;60;13/03/20;170000;1044.1700000;1044.2500000;1010.4500000;1019.0600000;318290839
RTSI;60;13/03/20;180000;1019.0800000;1029.4000000;1008.6700000;1008.8500000;286782477
RTSI;60;13/03/20;190000;1008.8600000;1015.0800000;991.6900000;991.6900000;325022925
RTSI;60;16/03/20;110000;995.2400000;998.3300000;949.9400000;970.9600000;304414613
RTSI;60;16/03/20;120000;970.9200000;973.4400000;940.6100000;942.6300000;227594392
RTSI;60;16/03/20;130000;942.9200000;948.4500000;935.8700000;942.1600000;177413718
RTSI;60;16/03/20;140000;941.7700000;946.1800000;935.3300000;945.1500000;144207297
RTSI;60;16/03/20;150000;945.2400000;945.9000000;926.5800000;926.8300000;151367382
RTSI;60;16/03/20;160000;926.9000000;937.0400000;924.1500000;925.2300000;158671814
RTSI;60;16/03/20;170000;925.3600000;935.6300000;910.6600000;934.7100000;210380268
RTSI;60;16/03/20;180000;934.7900000;960.8000000;926.3000000;956.4600000;299413922
RTSI;60;16/03/20;190000;956.3500000;973.1200000;951.4300000;966.9300000;245370170
RTSI;60;17/03/20;110000;955.1200000;985.2400000;950.5900000;977.5300000;272713165
RTSI;60;17/03/20;120000;977.4800000;980.3300000;928.5900000;933.0800000;278609906
RTSI;60;17/03/20;130000;932.9900000;945.6400000;921.3200000;925.5300000;194019060
RTSI;60;17/03/20;140000;925.9200000;939.8200000;923.3400000;936.6900000;146445048
RTSI;60;17/03/20;150000;936.6900000;941.9300000;921.5700000;923.5800000;165412922
RTSI;60;17/03/20;160000;923.3900000;934.0600000;920.8900000;928.9300000;112068248
